"GeneSymbol","Name","NCBI_Entrez_ID","HGNC_ID","Ensembl_Gene","Ensembl_Nucleotide","Ensembl_Protein","RefSeq_Nucleotide","RefSeq_Protein","Database","Uniprot_ID"
"ABCC2","ATP binding cassette subfamily C member 2",1244,"HGNC:53","ENSG00000023839.12","ENST00000647814.1","ENSP00000497274.1","NM_000392.5","NP_000383.2","MANE Select","Q92887;A0A3B3IRZ2;A0A3B3IRU4;A0A3B3IS94"
"ABCC3","ATP binding cassette subfamily C member 3",8714,"HGNC:54","ENSG00000108846.16","ENST00000285238.13","ENSP00000285238.8","NM_003786.4","NP_003777.2","MANE Select","O15438;D6RJE5;H0Y8T5;D6RAB7"
"ABCC4","ATP binding cassette subfamily C member 4",10257,"HGNC:55","ENSG00000125257.16","ENST00000645237.2","ENSP00000494609.1","NM_005845.5","NP_005836.2","MANE Select","O15439;Q8IWU1;A0A2R8YDG7;A0A2R8Y5Z3;A0A2R8YDC1;A0A2R8Y6V8"
"ABCC5","ATP binding cassette subfamily C member 5",10057,"HGNC:56","ENSG00000114770.17","ENST00000334444.11","ENSP00000333926.6","NM_005688.4","NP_005679.2","MANE Select","O15440;A5PKY6;E9PET4;F8WDH3;F8WCY8;C9JZL5"
"ABCC6","ATP binding cassette subfamily C member 6",368,"HGNC:57","ENSG00000091262.17","ENST00000205557.12","ENSP00000205557.7","NM_001171.6","NP_001162.5","MANE Select","O95255;I3L1Z6;A0A1W2PPQ8;A0A0G2JMG3;A0A8C8Q0G8;A0A0J9YVW5;A0A804HJ04"
"ABCC8","ATP binding cassette subfamily C member 8",6833,"HGNC:59","ENSG00000006071.16","ENST00000389817.8","ENSP00000374467.4","NM_000352.6","NP_000343.2","MANE Select","Q09428;A0A804HJH4;A0A2R8YEE5;A0A2R8Y6I7;A0A804HLA1;A0A2R8YD94;A0A2R8YDX3;A0A2R8Y5D8;A0A2R8Y475;A0A2R8Y6Q0;A0A804HK92;A0A2R8Y5I7;E9PK50;A0A2R8YFU3;A0A804HL76;A0A2R8YGQ6;A0A2R8YDG0;A0A2R8Y4V0;A0A2R8Y605;A0A804HI74;A0A2R8Y698;A0A2R8YDG6;A0A2R8Y781;A0A2R8YCG4;A0A804HJZ2;A0A2R8Y7I1;A0A804HK47;A0A2R8Y5V4;A0A804HJG5;A0A2R8Y4Z4"
"ABCC9","ATP binding cassette subfamily C member 9",10060,"HGNC:60","ENSG00000069431.14","ENST00000261200.9","ENSP00000261200.4","NM_020297.4","NP_064693.2","MANE Select","Q8N4N7;O60706;G3V1N6;A0A024RAV7;A0A804HKB7;A0A804HL22;A0A804HIU2;A0A804HHX2;A0A804HL58;H0YFV4;A0A804HK56"
"ABCD1","ATP binding cassette subfamily D member 1",215,"HGNC:61","ENSG00000101986.12","ENST00000218104.6","ENSP00000218104.3","NM_000033.4","NP_000024.2","MANE Select","P33897;A6NEP8"
"ABCD2","ATP binding cassette subfamily D member 2",225,"HGNC:66","ENSG00000173208.4","ENST00000308666.4","ENSP00000310688.3","NM_005164.4","NP_005155.1","MANE Select","Q9UBJ2"
"ABCD3","ATP binding cassette subfamily D member 3",5825,"HGNC:67","ENSG00000117528.14","ENST00000370214.9","ENSP00000359233.4","NM_002858.4","NP_002849.1","MANE Select","P28288;A0A3B3ITW3"
"ABCD4","ATP binding cassette subfamily D member 4",5826,"HGNC:68","ENSG00000119688.21","ENST00000356924.9","ENSP00000349396.4","NM_005050.4","NP_005041.1","MANE Select","O14678;E9PPB6;E9PI46;A0A024R6B9;G3V3W1;G3V4U7"
"ABCE1","ATP binding cassette subfamily E member 1",6059,"HGNC:69","ENSG00000164163.11","ENST00000296577.9","ENSP00000296577.4","NM_002940.3","NP_002931.2","MANE Select","P61221;D6RGF4;D6R9I9;H0Y990"
"ABCF1","ATP binding cassette subfamily F member 1",23,"HGNC:70","ENSG00000204574.14","ENST00000326195.13","ENSP00000313603.8","NM_001025091.2","NP_001020262.1","MANE Select","Q8NE71;A0A0G2JJB9;A0A0G2JIC2;Q2L6I2;F5GYK6;Q5STZ8"
"ABCF2","ATP binding cassette subfamily F member 2",10061,"HGNC:71","ENSG00000033050.9","ENST00000287844.7","ENSP00000287844.2","NM_007189.3","NP_009120.1","MANE Select","Q9UG63;C9JHK9;A0A090N7X1;C9JZV3"
"ABCF3","ATP binding cassette subfamily F member 3",55324,"HGNC:72","ENSG00000161204.12","ENST00000429586.7","ENSP00000411471.2","NM_018358.3","NP_060828.2","MANE Select","Q9NUQ8;A0A0S2Z5L1;F8WCU6"
"ABCG1","ATP binding cassette subfamily G member 1",9619,"HGNC:73","ENSG00000160179.19","ENST00000398449.8","ENSP00000381467.3","NM_016818.3","NP_058198.2","MANE Select","P45844;C9JKD9;E9PGV9"
"ABCG2","ATP binding cassette subfamily G member 2 (Junior blood group)",9429,"HGNC:74","ENSG00000118777.12","ENST00000237612.8","ENSP00000237612.3","NM_004827.3","NP_004818.2","MANE Select","Q9UNQ0;A1LUE4;F8S0F2"
"ABCG4","ATP binding cassette subfamily G member 4",64137,"HGNC:13884","ENSG00000172350.10","ENST00000619701.5","ENSP00000481728.1","NM_022169.5","NP_071452.2","MANE Select","Q9H172;E9PJ00"
"ABCG5","ATP binding cassette subfamily G member 5",64240,"HGNC:13886","ENSG00000138075.14","ENST00000405322.8","ENSP00000384513.2","NM_022436.3","NP_071881.1","MANE Select","Q9H222"
"ABCG8","ATP binding cassette subfamily G member 8",64241,"HGNC:13887","ENSG00000143921.9","ENST00000272286.4","ENSP00000272286.2","NM_022437.3","NP_071882.1","MANE Select","Q9H221;A0A2R8Y6M1"
"ABHD1","abhydrolase domain containing 1",84696,"HGNC:17553","ENSG00000143994.14","ENST00000316470.9","ENSP00000326491.4","NM_032604.4","NP_115993.3","MANE Select","F8WBB3;A0A140VJD1;C9J8C2"
"ABHD10","abhydrolase domain containing 10, depalmitoylase",55347,"HGNC:25656","ENSG00000144827.9","ENST00000273359.8","ENSP00000273359.3","NM_018394.4","NP_060864.1","MANE Select","Q9NUJ1;F8WBJ5;F8WBQ6"
"ABHD11","abhydrolase domain containing 11",83451,"HGNC:16407","ENSG00000106077.19","ENST00000222800.8","ENSP00000222800.4","NM_148912.4","NP_683710.2","MANE Select","C9J7Q4;H0YC52"
"ABHD12","abhydrolase domain containing 12, lysophospholipase",26090,"HGNC:15868","ENSG00000100997.20","ENST00000339157.10","ENSP00000341408.5","NM_001042472.3","NP_001035937.1","MANE Select","Q8N2K0;A0A5F9ZGW7;I3L294;A0A5F9ZHB5;Q5T712;A0A5F9ZHM3;I3L380;I3L1V0;I3L206;A0A5F9ZGZ9;A0A5F9ZH49;A0A5F9ZHH2;A0A5F9ZH28;I3L440;A0A5F9ZHF0;A0A5F9ZHG5;A0A5F9ZHQ0;A0A5F9ZH71;A0A5F9ZGT4;A0A5F9ZHQ8"
"ABHD12B","abhydrolase domain containing 12B",145447,"HGNC:19837","ENSG00000131969.15","ENST00000337334.7","ENSP00000336693.2","NM_001206673.2","NP_001193602.1","MANE Select","Q7Z5M8"
"ABHD13","abhydrolase domain containing 13",84945,"HGNC:20293","ENSG00000139826.6","ENST00000375898.4","ENSP00000365063.3","NM_032859.3","NP_116248.2","MANE Select","Q7L211;A0A024RDX1"
"ABHD14A","abhydrolase domain containing 14A",25864,"HGNC:24538","ENSG00000248487.10","ENST00000273596.8","ENSP00000273596.3","NM_015407.5","NP_056222.2","MANE Select","Q9BUJ0;C9JMW6;C9IYJ8;C9J7W8"
"ABHD14B","abhydrolase domain containing 14B",84836,"HGNC:28235","ENSG00000114779.20","ENST00000361143.10","ENSP00000354841.5","NM_001146314.2","NP_001139786.1","MANE Select","Q96IU4;B4DQI4;V9HW87;F8W9U3"
"ABHD15","abhydrolase domain containing 15",116236,"HGNC:26971","ENSG00000168792.5","ENST00000307201.5","ENSP00000302657.3","NM_198147.3","NP_937790.2","MANE Select","Q6UXT9"
"ABHD16A","abhydrolase domain containing 16A, phospholipase",7920,"HGNC:13921","ENSG00000204427.12","ENST00000395952.8","ENSP00000379282.3","NM_021160.3","NP_066983.1","MANE Select","O95870;F2Z3G6;A0A0G2JJD3;A0A0G2JI89;F2Z3Q3;F2Z3H2"
"ABHD16B","abhydrolase domain containing 16B",140701,"HGNC:16128","ENSG00000183260.7","ENST00000369916.5","ENSP00000358932.3","NM_080622.4","NP_542189.1","MANE Select","Q9H3Z7"
"ABHD17A","abhydrolase domain containing 17A, depalmitoylase",81926,"HGNC:28756","ENSG00000129968.17","ENST00000292577.12","ENSP00000292577.6","NM_001130111.2","NP_001123583.1","MANE Select","Q96GS6;A0A7I2YQW9;K7EQ25"
"ABHD17B","abhydrolase domain containing 17B, depalmitoylase",51104,"HGNC:24278","ENSG00000107362.14","ENST00000333421.7","ENSP00000330222.6","NM_001025780.3","NP_001020951.1","MANE Select","Q5VST6"
"ABHD17C","abhydrolase domain containing 17C, depalmitoylase",58489,"HGNC:26925","ENSG00000136379.12","ENST00000258884.5","ENSP00000258884.4","NM_021214.2","NP_067037.1","MANE Select","Q6PCB6;H0YN98"
"ABHD18","abhydrolase domain containing 18",80167,"HGNC:26111","ENSG00000164074.16","ENST00000645843.2","ENSP00000496010.1","NM_001358451.3","NP_001345380.1","MANE Select","Q0P651;D6RGX5;B7WP89;A0A2R8YEZ0;D6RD85"
"ABHD2","abhydrolase domain containing 2, acylglycerol lipase",11057,"HGNC:18717","ENSG00000140526.18","ENST00000352732.10","ENSP00000268129.5","NM_152924.5","NP_690888.1","MANE Select","P08910;A0A024RC89;H3BUZ6;H3BN19;H3BMT2"
"ABHD3","abhydrolase domain containing 3, phospholipase",171586,"HGNC:18718","ENSG00000158201.10","ENST00000289119.7","ENSP00000289119.2","NM_138340.5","NP_612213.2","MANE Select","Q8WU67;J3KTE1;J3KSP1"
"ABHD4","abhydrolase domain containing 4, N-acyl phospholipase B",63874,"HGNC:20154","ENSG00000100439.11","ENST00000428304.7","ENSP00000414558.2","NM_022060.3","NP_071343.2","MANE Select","Q8TB40;F5H6T0;J3KMW0;F5GZC9;F5H067"
"ABHD5","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",51099,"HGNC:21396","ENSG00000011198.10","ENST00000644371.2","ENSP00000495778.1","NM_016006.6","NP_057090.2","MANE Select","Q8WTS1;A0A2R8YG27;C9J1D1;A0A2R8YER6;A0A2R8YEZ7;A0A2R8Y7S6;C9JBM3;A0A2U3TZT9;F8W7B5;A0A0S2Z5D6"
"ABHD6","abhydrolase domain containing 6, acylglycerol lipase",57406,"HGNC:21398","ENSG00000163686.15","ENST00000478253.6","ENSP00000420315.1","NM_001320126.2","NP_001307055.1","MANE Select","Q9BV23;A0A024R323;C9J010;F8WBP4;C9JNE7"
"ABHD8","abhydrolase domain containing 8",79575,"HGNC:23759","ENSG00000127220.6","ENST00000247706.4","ENSP00000247706.2","NM_024527.5","NP_078803.4","MANE Select","Q96I13;B2C6G3;M0QZA8;M0QX40"
"ABI1","abl interactor 1",10006,"HGNC:11320","ENSG00000136754.18","ENST00000376140.4","ENSP00000365310.3","NM_001012750.3","NP_001012768.1","MANE Select","Q8IZP0;B6VEX4;A0A0A0MRT6"
"ABI2","abl interactor 2",10152,"HGNC:24011","ENSG00000138443.17","ENST00000261018.12","ENSP00000261018.9","NM_001375670.1","NP_001362599.1","MANE Select","F8WEB9;F8WBL5;E7EW77;A0A0C4DG21;F8WAZ8;E7EUA1;F8WCD7;A0A0A0MQU9;A0A7D9NKC8;E9PEZ7;E7EP65;F8WAU3;F8WAL6"
"ABI3","ABI family member 3",51225,"HGNC:29859","ENSG00000108798.9","ENST00000225941.6","ENSP00000225941.1","NM_016428.3","NP_057512.2","MANE Select","Q9P2A4"
"ABI3BP","ABI family member 3 binding protein",25890,"HGNC:17265","ENSG00000154175.18","ENST00000471714.6","ENSP00000420524.2","NM_001375547.2","NP_001362476.1","MANE Select","Q7Z7G0;D3YTG3;H7C524;F6R962;H0YDN0;E9PPR9;H0YEA0;H7C556;E9PRB5"
"ABITRAM","actin binding transcription modulator",54942,"HGNC:1364","ENSG00000119328.12","ENST00000322940.11","ENSP00000363753.3","NM_017832.4","NP_060302.1","MANE Select","Q9NX38;X6REY2;X6R8U7"
"ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase",25,"HGNC:76","ENSG00000097007.19","ENST00000318560.6","ENSP00000323315.5","NM_005157.6","NP_005148.2","MANE Select","P00519;A0A024R8E2;R4GRW0"
"ABL2","ABL proto-oncogene 2, non-receptor tyrosine kinase",27,"HGNC:77","ENSG00000143322.21","ENST00000502732.6","ENSP00000427562.1","NM_007314.4","NP_009298.1","MANE Select","P42684"
"ABLIM1","actin binding LIM protein 1",3983,"HGNC:78","ENSG00000099204.21","ENST00000533213.7","ENSP00000433629.3","NM_002313.7","NP_002304.3","MANE Select","O14639;A0A3B3IS55;F6XFR5;H0Y7N6;A0A494C1P1"
"ABLIM2","actin binding LIM protein family member 2",84448,"HGNC:19195","ENSG00000163995.21","ENST00000447017.7","ENSP00000393511.2","NM_001130083.2","NP_001123555.1","MANE Select","Q6H8Q1;F5GYR0;A0A7I2V5G9;D6RAL0"
"ABLIM3","actin binding LIM protein family member 3",22885,"HGNC:29132","ENSG00000173210.20","ENST00000309868.12","ENSP00000310309.7","NM_014945.5","NP_055760.1","MANE Select","O94929;A0A0C4DGA7;A0A0A0MRD5;D6RHE7"
"ABR","ABR activator of RhoGEF and GTPase",29,"HGNC:81","ENSG00000159842.16","ENST00000302538.10","ENSP00000303909.5","NM_021962.5","NP_068781.2","MANE Select","Q12979;I3L259;I3L3W0;A0A0G2JQ41;I3L2C0;B7Z683;I3L1U8;I3L2L3;I3L2P5;A0A0G2JRC2;A0A0G2JRJ1;A0A0D9SGD7;A0A1C7CYZ0;I3L4Y1;A0A0G2JQB5;A0A0G2JQT5;A0A0G2JQM3;A0A0G2JSE0;A0A0G2JRW2"
